annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.002643,0.1,1.0,1.0,0.0,0.0,0.0,0.00264314,0.000359006,0.0,7278.137,0.0,0.26,1.0,0.01,100.0
0.002104,1e-09,0.906925,1.08113e-05,0.999989,0.999992,24.1118,0.00190773,2.11671e-09,0.000195784,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,7.7e-09,0.906932,8.32131e-05,0.999917,0.99999,19.7931,0.00190775,1.6292e-08,0.00019577,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,6e-08,0.906985,0.000648511,0.999351,0.999987,15.448,0.00190786,1.2697e-07,0.000195659,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,4.6e-07,0.907387,0.00497212,0.995028,0.999983,11.1375,0.0019087,9.73473e-07,0.000194813,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,3.6e-06,0.910546,0.0389122,0.961088,0.999972,6.78348,0.00191535,7.61848e-06,0.000188168,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,2.8e-05,0.935091,0.302623,0.697377,0.999944,2.4428,0.00196698,5.92494e-05,0.000136537,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.00022,0.99955,0.99516,0.00484003,0.999537,0.00204753,0.00210257,0.000194839,9.4761e-07,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.0017,0.999942,0.999373,0.000627367,0.998033,6.24398e-05,0.00210339,0.000195663,1.2283e-07,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.013,1.0,1.0,0.0,0.0,0.0,0.00210352,0.000195786,0.0,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.1,1.0,1.0,0.0,0.0,0.0,0.00210352,0.000195786,0.0,7378.137,0.0,0.26,1.0,0.01,100.0
0.001203,1e-09,0.910335,1.00557e-05,0.99999,0.999991,12.3988,0.00109554,1.08509e-09,0.000107907,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,7.7e-09,0.910341,7.73977e-05,0.999923,0.999989,10.1854,0.00109555,8.35185e-09,0.0001079,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,6e-08,0.910388,0.000603079,0.999397,0.999986,7.9586,0.0010956,6.50772e-08,0.000107843,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,4.6e-07,0.910749,0.00462359,0.995376,0.999981,5.74941,0.00109604,4.98924e-07,0.000107409,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,3.6e-06,0.913579,0.0361881,0.963812,0.99997,3.51779,0.00109944,3.905e-06,0.000104003,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,2.8e-05,0.935572,0.281472,0.718528,0.99994,1.29295,0.00112591,3.03732e-05,7.75351e-05,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.00022,0.996328,0.959043,0.0409575,0.999351,0.0068139,0.00119903,0.000103489,4.41965e-06,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.0017,0.998551,0.983836,0.0161636,0.997656,0.00074419,0.0012017,0.000106164,1.74419e-06,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.013,1.0,1.0,0.0,0.0,0.0,0.00120345,0.000107908,0.0,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.1,1.0,1.0,0.0,0.0,0.0,0.00120345,0.000107908,0.0,7478.137,0.0,0.26,1.0,0.01,100.0
0.001344,1e-09,0.952395,1.0264e-05,0.99999,0.999991,7.50164,0.00127969,6.56536e-10,6.39645e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,7.7e-09,0.952398,7.89953e-05,0.999921,0.99999,6.16213,0.0012797,5.05295e-09,6.39601e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,6e-08,0.952424,0.000615746,0.999384,0.999987,4.81428,0.00127973,3.93863e-08,6.39258e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,4.6e-07,0.952619,0.00472032,0.99528,0.999982,3.47736,0.00127999,3.01936e-07,6.36632e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,3.6e-06,0.954153,0.036944,0.963056,0.999971,2.12684,0.00128205,2.36313e-06,6.1602e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,2.8e-05,0.966073,0.287332,0.712668,0.999942,0.78044,0.00129807,1.83793e-05,4.55859e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.00022,0.999199,0.983177,0.016823,0.999744,0.00419987,0.00134258,6.28891e-05,1.07609e-06,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.0017,0.999996,0.999912,8.81882e-05,0.996337,1.54012e-06,0.00134365,6.39595e-05,5.64098e-09,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.013,1.0,1.0,0.0,0.0,0.0,0.00134366,6.39652e-05,0.0,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.1,1.0,1.0,0.0,0.0,0.0,0.00134366,6.39652e-05,0.0,7578.137,0.0,0.26,1.0,0.01,100.0
