annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.002015,7.7e-09,0.732815,4.17779e-06,0.999996,0.999849,3.57151,0.00147665,2.24928e-09,0.000538388,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,6e-08,0.732823,3.25316e-05,0.999967,0.999819,2.97227,0.00147666,1.75147e-08,0.000538372,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,4.6e-07,0.732881,0.000249429,0.999751,0.999774,2.37755,0.00147678,1.3429e-07,0.000538256,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,3.6e-06,0.733335,0.00195114,0.998049,0.999698,1.77699,0.0014777,1.05047e-06,0.000537339,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,2.8e-05,0.736874,0.0151971,0.984803,0.99955,1.17768,0.00148483,8.18194e-06,0.000530208,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.00022,0.764318,0.117912,0.882088,0.999181,0.579896,0.00154013,6.34826e-05,0.000474907,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.0017,0.950319,0.814058,0.185942,0.997955,0.0489568,0.00191493,0.000438281,0.000100109,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.013,1.0,0.999999,5.0834e-07,0.984201,1.73225e-08,0.00201504,0.00053839,2.73685e-10,7078.137,0.0,0.26,1.0,0.01,100.0
0.002015,0.1,1.0,1.0,0.0,0.0,0.0,0.00201504,0.00053839,0.0,7078.137,0.0,0.26,1.0,0.01,100.0
0.003743,1e-09,0.802595,8.84012e-07,0.999999,0.999915,8.66922,0.00300418,6.53197e-10,0.0007389,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,7.7e-09,0.802597,6.80543e-06,0.999993,0.999899,7.33637,0.00300418,5.02854e-09,0.000738896,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,6e-08,0.802606,5.3027e-05,0.999947,0.999877,5.99565,0.00300422,3.91817e-08,0.000738862,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,4.6e-07,0.802676,0.000406463,0.999594,0.999842,4.66563,0.00300448,3.00336e-07,0.000738601,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,3.6e-06,0.803223,0.00317977,0.99682,0.999778,3.32231,0.00300653,2.34954e-06,0.000736552,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,2.8e-05,0.807482,0.0247551,0.975245,0.999636,1.98215,0.00302247,1.82916e-05,0.00072061,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.00022,0.836197,0.170218,0.829782,0.999161,0.730829,0.00312995,0.000125774,0.000613127,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.0017,0.963041,0.812777,0.187223,0.99796,0.0678167,0.00360474,0.000600562,0.000138339,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.013,0.999999,0.999993,6.69539e-06,0.985987,3.53046e-07,0.00374307,0.000738896,4.94723e-09,7178.137,0.0,0.26,1.0,0.01,100.0
0.003743,0.1,1.0,1.0,0.0,0.0,0.0,0.00374308,0.000738901,0.0,7178.137,0.0,0.26,1.0,0.01,100.0
0.002643,1e-09,0.864175,2.20193e-06,0.999998,0.999963,9.80895,0.00228413,7.90505e-10,0.000359005,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,7.7e-09,0.864177,1.69658e-05,0.999983,0.999956,8.19416,0.00228414,6.09084e-09,0.000359,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,6e-08,0.864192,0.00013217,0.999868,0.999945,6.57066,0.00228418,4.745e-08,0.000358959,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,4.6e-07,0.864312,0.00101308,0.998987,0.999928,4.95999,0.0022845,3.63702e-07,0.000358643,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,3.6e-06,0.865251,0.00792911,0.992071,0.999893,3.33281,0.00228698,2.8466e-06,0.00035616,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,2.8e-05,0.872552,0.0616778,0.938322,0.999803,1.7105,0.00230628,2.21427e-05,0.000336864,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.00022,0.916199,0.383022,0.616978,0.999187,0.272495,0.00242164,0.000137507,0.000221499,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.0017,0.982537,0.871427,0.128573,0.997891,0.0218886,0.00259698,0.000312848,4.61584e-05,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.013,0.999937,0.999535,0.00046491,0.975151,6.71679e-06,0.00264297,0.000358839,1.66906e-07,7278.137,0.0,0.26,1.0,0.01,100.0
0.002643,0.1,1.0,1.0,0.0,0.0,0.0,0.00264314,0.000359006,0.0,7278.137,0.0,0.26,1.0,0.01,100.0
0.002104,1e-09,0.906925,1.98781e-06,0.999998,0.99996,4.83923,0.00190773,3.89186e-10,0.000195786,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,7.7e-09,0.906926,1.53157e-05,0.999985,0.999952,4.04447,0.00190773,2.9986e-09,0.000195783,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,6e-08,0.906935,0.000119251,0.999881,0.99994,3.24563,0.00190775,2.33478e-08,0.000195763,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,4.6e-07,0.907009,0.00091413,0.999086,0.99992,2.45286,0.00190791,1.78974e-07,0.000195607,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,3.6e-06,0.90759,0.00715489,0.992845,0.999882,1.65198,0.00190913,1.40083e-06,0.000194385,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,2.8e-05,0.912106,0.0556765,0.944323,0.999783,0.853368,0.00191863,1.09007e-05,0.000184886,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.00022,0.939326,0.348124,0.651876,0.999107,0.142912,0.00197589,6.81579e-05,0.000127628,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.0017,0.981506,0.801304,0.198696,0.997605,0.016244,0.00206461,0.000156884,3.89018e-05,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.013,0.999866,0.998559,0.00144136,0.983087,1.66855e-05,0.00210323,0.000195504,2.82198e-07,7378.137,0.0,0.26,1.0,0.01,100.0
0.002104,0.1,1.0,1.0,0.0,0.0,0.0,0.00210352,0.000195786,0.0,7378.137,0.0,0.26,1.0,0.01,100.0
0.001203,1e-09,0.910334,2.00111e-06,0.999998,0.99996,2.69059,0.00109554,2.15936e-10,0.000107908,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,7.7e-09,0.910335,1.54131e-05,0.999985,0.999952,2.24959,0.00109554,1.6632e-09,0.000107907,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,6e-08,0.910345,0.000120104,0.99988,0.99994,1.80609,0.00109555,1.29602e-08,0.000107895,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,4.6e-07,0.910417,0.000921104,0.999079,0.999921,1.36602,0.00109564,9.93948e-08,0.000107809,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,3.6e-06,0.91098,0.00720757,0.992792,0.999884,0.921616,0.00109632,7.77757e-07,0.000107131,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,2.8e-05,0.915361,0.0560592,0.943941,0.999787,0.478515,0.00110159,6.04926e-06,0.000101859,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.00022,0.942874,0.362901,0.637099,0.999105,0.0768028,0.0011347,3.916e-05,6.87483e-05,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.0017,0.979976,0.776685,0.223315,0.997215,0.0086516,0.00117935,8.38107e-05,2.40975e-05,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.013,0.997356,0.970511,0.029489,0.963661,8.75682e-05,0.00120026,0.000104726,3.18211e-06,7478.137,0.0,0.26,1.0,0.01,100.0
0.001203,0.1,1.0,1.0,0.0,0.0,0.0,0.00120345,0.000107908,0.0,7478.137,0.0,0.26,1.0,0.01,100.0
0.001344,1e-09,0.952395,1.94928e-06,0.999998,0.999962,1.67569,0.00127969,1.24686e-10,6.3965e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,7.7e-09,0.952395,1.60452e-05,0.999984,0.999954,1.40101,0.00127969,1.02633e-09,6.39641e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,6e-08,0.952401,0.000126063,0.999874,0.999943,1.12478,0.0012797,8.06365e-09,6.39571e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,4.6e-07,0.952441,0.000967549,0.999032,0.999925,0.850727,0.00127975,6.18894e-08,6.39033e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,3.6e-06,0.952755,0.00757256,0.992427,0.999889,0.573919,0.00128018,4.8438e-07,6.34808e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,2.8e-05,0.955198,0.0588808,0.941119,0.999798,0.297974,0.00128346,3.76632e-06,6.01988e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.00022,0.970516,0.380653,0.619347,0.999174,0.0479559,0.00130404,2.43486e-05,3.96166e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.0017,0.990997,0.810884,0.189116,0.997544,0.00492591,0.00133156,5.18684e-05,1.20968e-05,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.013,0.99998,0.99957,0.00042998,0.973043,1.0203e-06,0.00134363,6.39377e-05,2.75037e-08,7578.137,0.0,0.26,1.0,0.01,100.0
0.001344,0.1,0.999998,0.999961,3.9331e-05,0.876906,2.04382e-08,0.00134365,6.39626e-05,2.51581e-09,7578.137,0.0,0.26,1.0,0.01,100.0
8.912e-05,1e-09,0.14696,8.57844e-06,0.999991,0.99999,7.56615,1.30964e-05,6.5213e-10,7.6019e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,7.7e-09,0.147009,6.6056e-05,0.999934,0.999988,6.23517,1.31007e-05,5.02156e-09,7.60147e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,6e-08,0.147391,0.000514716,0.999485,0.999984,4.89646,1.31348e-05,3.91286e-08,7.59806e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,4.6e-07,0.150318,0.00394547,0.996055,0.999979,3.56844,1.33956e-05,2.99934e-07,7.57198e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,3.6e-06,0.17329,0.0308748,0.969125,0.999967,2.22695,1.54428e-05,2.3471e-06,7.36726e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,2.8e-05,0.351828,0.240169,0.759831,0.999935,0.889351,3.13533e-05,1.82576e-05,5.77621e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.00022,0.963903,0.957684,0.0423155,0.999696,0.0105675,8.58986e-05,7.28029e-05,3.21681e-06,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.0017,1.0,1.0,1.29613e-07,0.998287,5.75279e-09,8.91154e-05,7.60197e-05,9.85316e-12,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.013,1.0,1.0,0.0,0.0,0.0,8.91154e-05,7.60197e-05,0.0,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.1,1.0,1.0,0.0,0.0,0.0,8.91154e-05,7.60197e-05,0.0,6578.137,10.0,0.26,1.0,0.01,100.0
0.0002976,1e-09,0.436543,7.49394e-06,0.999993,0.999989,14.6791,0.000129894,1.25642e-09,0.000167657,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,7.7e-09,0.436571,5.76984e-05,0.999942,0.999986,12.1142,0.000129902,9.67363e-09,0.000167649,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,6e-08,0.436792,0.000449616,0.99955,0.999982,9.53427,0.000129968,7.53819e-08,0.000167583,6678.137,10.0,0.26,1.0,0.01,100.0
