annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,radar_wavelength,d_ref,scaling_factor
0.004549,6e-08,0.935514,0.0,1.0,0.99997,9.78094,0.00425528,0.0,0.00029332,7478.137,0.075,0.26,1.0
0.004549,4.6e-07,0.935791,0.00423743,0.995763,0.999913,3.37016,0.00425654,1.24286e-06,0.000292063,7478.137,0.075,0.26,1.0
0.004549,3.6e-06,0.936262,0.011545,0.988455,0.99978,1.31944,0.00425868,3.38622e-06,0.00028992,7478.137,0.075,0.26,1.0
0.004549,2.8e-05,0.938138,0.0406373,0.959363,0.999484,0.544953,0.00426722,1.19192e-05,0.000281387,7478.137,0.075,0.26,1.0
0.004549,0.00022,0.944384,0.13751,0.86249,0.998707,0.195693,0.00429563,4.03327e-05,0.000252973,7478.137,0.075,0.26,1.0
0.004549,0.0017,0.965551,0.465761,0.534239,0.994863,0.0305012,0.00439191,0.00013661,0.000156696,7478.137,0.075,0.26,1.0
0.004549,0.013,0.988019,0.814191,0.185809,0.970871,0.00187097,0.0044941,0.000238807,5.44989e-05,7478.137,0.075,0.26,1.0
0.004549,0.1,0.998402,0.975223,0.0247771,0.850715,4.86805e-05,0.00454134,0.000286039,7.26727e-06,7478.137,0.075,0.26,1.0
0.005091,1e-09,0.952702,0.0,1.0,0.999984,15.0755,0.00485039,0.0,0.000240802,7578.137,0.075,0.26,1.0
0.005091,7.7e-09,0.952705,0.0,1.0,0.999978,10.8756,0.00485041,0.0,0.000240788,7578.137,0.075,0.26,1.0
0.005091,6e-08,0.952726,0.0,1.0,0.999964,6.65119,0.00485051,0.0,0.000240681,7578.137,0.075,0.26,1.0
0.005091,4.6e-07,0.952887,0.00318087,0.996819,0.999903,2.46634,0.00485134,7.65399e-07,0.00023986,7578.137,0.075,0.26,1.0
0.005091,3.6e-06,0.953193,0.0096455,0.990355,0.99977,1.03471,0.00485289,2.32095e-06,0.000238305,7578.137,0.075,0.26,1.0
0.005091,2.8e-05,0.954431,0.0358469,0.964153,0.999499,0.463165,0.0048592,8.62568e-06,0.000232,7578.137,0.075,0.26,1.0
0.005091,0.00022,0.959236,0.137502,0.862498,0.998792,0.171821,0.00488366,3.30866e-05,0.000207539,7578.137,0.075,0.26,1.0
0.005091,0.0017,0.975896,0.490003,0.509997,0.994841,0.023787,0.00496848,0.000117907,0.000122718,7578.137,0.075,0.26,1.0
0.005091,0.013,0.991471,0.819544,0.180456,0.96459,0.00122627,0.00504777,0.000197203,4.34224e-05,7578.137,0.075,0.26,1.0
0.005091,0.1,0.997802,0.953501,0.0464987,0.833423,6.71689e-05,0.00508001,0.000229437,1.11888e-05,7578.137,0.075,0.26,1.0
0.000138,1e-09,0.0,0.0,1.0,1.0,1198.87,0.0,0.0,0.000149506,6578.137,0.1,0.26,1.0
0.000138,7.7e-09,0.0,0.0,1.0,1.0,821.864,0.0,0.0,0.000148268,6578.137,0.1,0.26,1.0
0.000138,6e-08,0.0,0.0,1.0,1.0,442.618,0.0,0.0,0.000138608,6578.137,0.1,0.26,1.0
0.000138,4.6e-07,0.525502,0.525502,0.474498,0.999999,68.2941,7.25321e-05,7.25321e-05,6.54923e-05,6578.137,0.1,0.26,1.0
0.000138,3.6e-06,0.83464,0.83464,0.16536,0.999976,0.962718,0.000115201,0.000115201,2.28237e-05,6578.137,0.1,0.26,1.0
0.000138,2.8e-05,0.897376,0.897376,0.102624,0.999909,0.156443,0.00012386,0.00012386,1.41646e-05,6578.137,0.1,0.26,1.0
0.000138,0.00022,0.954145,0.954145,0.0458546,0.998358,0.00385406,0.000131695,0.000131695,6.32906e-06,6578.137,0.1,0.26,1.0
0.000138,0.0017,0.96585,0.96585,0.0341502,0.99094,0.000520259,0.000133311,0.000133311,4.71356e-06,6578.137,0.1,0.26,1.0
0.000138,0.013,0.981726,0.981726,0.0182743,0.97938,0.000122326,0.000135502,0.000135502,2.5223e-06,6578.137,0.1,0.26,1.0
0.000138,0.1,1.0,1.0,0.0,0.0,0.0,0.000138024,0.000138024,0.0,6578.137,0.1,0.26,1.0
0.0004822,1e-09,0.148423,0.0,1.0,1.0,2633.24,7.15672e-05,0.0,0.000410617,6678.137,0.1,0.26,1.0
0.0004822,7.7e-09,0.154051,0.0,1.0,1.0,1806.4,7.42809e-05,0.0,0.000407903,6678.137,0.1,0.26,1.0
0.0004822,6e-08,0.197988,0.00353217,0.996468,1.0,974.682,9.54666e-05,1.37079e-06,0.000386717,6678.137,0.1,0.26,1.0
0.0004822,4.6e-07,0.529612,0.415562,0.584438,0.999999,154.752,0.00025537,0.000161275,0.000226814,6678.137,0.1,0.26,1.0
0.0004822,3.6e-06,0.739811,0.676725,0.323275,0.999978,5.66331,0.000356725,0.000262629,0.000125459,6678.137,0.1,0.26,1.0
0.0004822,2.8e-05,0.845989,0.808648,0.191352,0.999903,0.766522,0.000407922,0.000313827,7.42614e-05,6678.137,0.1,0.26,1.0
0.0004822,0.00022,0.909609,0.887692,0.112308,0.998948,0.041432,0.000438599,0.000344503,4.35852e-05,6678.137,0.1,0.26,1.0
0.0004822,0.0017,0.95679,0.946313,0.0536872,0.996649,0.0062184,0.000461349,0.000367253,2.08354e-05,6678.137,0.1,0.26,1.0
0.0004822,0.013,0.997581,0.996995,0.00300504,0.981804,6.40917e-05,0.000481018,0.000386922,1.16622e-06,6678.137,0.1,0.26,1.0
0.0004822,0.1,1.0,1.0,0.0,0.0,0.0,0.000482184,0.000388088,0.0,6678.137,0.1,0.26,1.0
0.0008527,1e-09,0.293274,0.0,1.0,0.999999,1078.8,0.000250085,0.0,0.00060265,6778.137,0.1,0.26,1.0
0.0008527,7.7e-09,0.29455,0.0,1.0,0.999999,747.449,0.000251173,0.0,0.000601562,6778.137,0.1,0.26,1.0
0.0008527,6e-08,0.304507,0.000595052,0.999405,0.999999,414.111,0.000259664,3.53118e-07,0.000593071,6778.137,0.1,0.26,1.0
0.0008527,4.6e-07,0.37985,0.108861,0.891139,0.999994,85.1108,0.000323911,6.4601e-05,0.000528823,6778.137,0.1,0.26,1.0
0.0008527,3.6e-06,0.449505,0.208954,0.791046,0.99996,11.8735,0.000383309,0.000123998,0.000469426,6778.137,0.1,0.26,1.0
0.0008527,2.8e-05,0.556363,0.362505,0.637495,0.999828,2.20569,0.00047443,0.000215119,0.000378305,6778.137,0.1,0.26,1.0
0.0008527,0.00022,0.695648,0.562654,0.437346,0.998954,0.248187,0.000593203,0.000333892,0.000259532,6778.137,0.1,0.26,1.0
0.0008527,0.0017,0.838765,0.76831,0.23169,0.994551,0.0252303,0.000715244,0.000455934,0.000137491,6778.137,0.1,0.26,1.0
0.0008527,0.013,0.956971,0.938168,0.061832,0.974103,0.00141688,0.000816042,0.000556732,3.66926e-05,6778.137,0.1,0.26,1.0
0.0008527,0.1,0.996578,0.995082,0.00491782,0.842279,1.85032e-05,0.000849816,0.000590506,2.91835e-06,6778.137,0.1,0.26,1.0
0.002415,1e-09,0.506214,0.0,1.0,0.999998,604.352,0.00122275,0.0,0.00119274,6878.137,0.1,0.26,1.0
0.002415,7.7e-09,0.506462,0.0,1.0,0.999997,421.468,0.00122335,0.0,0.00119214,6878.137,0.1,0.26,1.0
0.002415,6e-08,0.508402,0.0,1.0,0.999995,237.532,0.00122804,0.0,0.00118745,6878.137,0.1,0.26,1.0
0.002415,4.6e-07,0.52308,0.02971,0.97029,0.999979,55.9628,0.00126349,3.52739e-05,0.001152,6878.137,0.1,0.26,1.0
0.002415,3.6e-06,0.538833,0.0617594,0.938241,0.999913,12.7459,0.00130154,7.33251e-05,0.00111395,6878.137,0.1,0.26,1.0
0.002415,2.8e-05,0.578086,0.141619,0.858381,0.999692,3.3118,0.00139636,0.00016814,0.00101913,6878.137,0.1,0.26,1.0
0.002415,0.00022,0.649288,0.286479,0.713521,0.998792,0.701072,0.00156835,0.000340129,0.000847142,6878.137,0.1,0.26,1.0
0.002415,0.0017,0.795196,0.583328,0.416672,0.99408,0.0835715,0.00192079,0.000692569,0.000494702,6878.137,0.1,0.26,1.0
0.002415,0.013,0.942331,0.882674,0.117326,0.971335,0.00485949,0.00227619,0.00104797,0.000139298,6878.137,0.1,0.26,1.0
0.002415,0.1,0.990141,0.979941,0.0200589,0.845949,0.000154594,0.00239167,0.00116346,2.38153e-05,6878.137,0.1,0.26,1.0
0.004625,1e-09,0.647463,0.0,1.0,0.999994,255.134,0.0029944,0.0,0.00163042,6978.137,0.1,0.26,1.0
0.004625,7.7e-09,0.647517,0.0,1.0,0.999991,180.297,0.00299465,0.0,0.00163017,6978.137,0.1,0.26,1.0
0.004625,6e-08,0.647931,0.0,1.0,0.999984,105.03,0.00299656,0.0,0.00162825,6978.137,0.1,0.26,1.0
0.004625,4.6e-07,0.651075,0.00861001,0.99139,0.999947,30.6543,0.00301111,1.40148e-05,0.00161371,6978.137,0.1,0.26,1.0
0.004625,3.6e-06,0.655548,0.0213177,0.978682,0.999835,9.62804,0.00303179,3.46995e-05,0.00159303,6978.137,0.1,0.26,1.0
0.004625,2.8e-05,0.671057,0.0653845,0.934616,0.999448,2.75838,0.00310352,0.000106428,0.0015213,6978.137,0.1,0.26,1.0
0.004625,0.00022,0.700085,0.147861,0.852139,0.99845,0.894923,0.00323777,0.000240678,0.00138705,6978.137,0.1,0.26,1.0
0.004625,0.0017,0.806661,0.450672,0.549328,0.994046,0.150189,0.00373066,0.000733573,0.000894156,6978.137,0.1,0.26,1.0
0.004625,0.013,0.943384,0.839139,0.160861,0.970167,0.00877689,0.00436298,0.00136589,0.000261838,6978.137,0.1,0.26,1.0
0.004625,0.1,0.98605,0.960363,0.0396371,0.827754,0.000374572,0.0045603,0.00156321,6.45184e-05,6978.137,0.1,0.26,1.0
0.008832,1e-09,0.743664,0.0,1.0,0.999982,128.141,0.00656772,0.0,0.00226385,7078.137,0.1,0.26,1.0
0.008832,7.7e-09,0.743677,0.0,1.0,0.999975,91.7745,0.00656784,0.0,0.00226373,7078.137,0.1,0.26,1.0
0.008832,6e-08,0.743783,0.0,1.0,0.999959,55.1967,0.00656877,0.0,0.0022628,7078.137,0.1,0.26,1.0
0.008832,4.6e-07,0.744584,0.00303803,0.996962,0.999881,19.0254,0.00657585,6.87385e-06,0.00225572,7078.137,0.1,0.26,1.0
0.008832,3.6e-06,0.74594,0.00833199,0.991668,0.999711,7.76792,0.00658783,1.88519e-05,0.00224375,7078.137,0.1,0.26,1.0
0.008832,2.8e-05,0.751673,0.0307078,0.969292,0.999286,3.07348,0.00663845,6.94794e-05,0.00219312,7078.137,0.1,0.26,1.0
0.008832,0.00022,0.767764,0.0935143,0.906486,0.99845,1.32299,0.00678056,0.000211585,0.00205101,7078.137,0.1,0.26,1.0
0.008832,0.0017,0.850955,0.418236,0.581764,0.994335,0.23237,0.00751527,0.0009463,0.0013163,7078.137,0.1,0.26,1.0
0.008832,0.013,0.961396,0.849319,0.150681,0.976484,0.0144976,0.00849064,0.00192167,0.00034093,7078.137,0.1,0.26,1.0
0.008832,0.1,0.994085,0.976913,0.0230865,0.83378,0.000314256,0.00877934,0.00221036,5.22356e-05,7078.137,0.1,0.26,1.0
0.01339,1e-09,0.800992,0.0,1.0,0.999969,86.1011,0.0107248,0.0,0.00266458,7178.137,0.1,0.26,1.0
0.01339,7.7e-09,0.800998,0.0,1.0,0.999958,62.7514,0.0107248,0.0,0.0026645,7178.137,0.1,0.26,1.0
0.01339,6e-08,0.801043,0.0,1.0,0.999932,39.2646,0.0107254,0.0,0.0026639,7178.137,0.1,0.26,1.0
0.01339,4.6e-07,0.801383,0.0015996,0.9984,0.999834,16.0151,0.01073,4.26071e-06,0.00265935,7178.137,0.1,0.26,1.0
0.01339,3.6e-06,0.802076,0.005081,0.994919,0.999661,7.81456,0.0107393,1.35338e-05,0.00265008,7178.137,0.1,0.26,1.0
0.01339,2.8e-05,0.805325,0.0214141,0.978586,0.999329,3.8872,0.0107828,5.70389e-05,0.00260657,7178.137,0.1,0.26,1.0
0.01339,0.00022,0.819239,0.0913578,0.908642,0.9986,1.72847,0.0109691,0.000243342,0.00242027,7178.137,0.1,0.26,1.0
0.01339,0.0017,0.890095,0.447536,0.552464,0.994417,0.263591,0.0119178,0.00119206,0.00147155,7178.137,0.1,0.26,1.0
0.01339,0.013,0.972163,0.860071,0.139929,0.97421,0.0144521,0.0130166,0.00229089,0.000372717,7178.137,0.1,0.26,1.0
0.01339,0.1,0.995325,0.976498,0.0235016,0.836048,0.000381813,0.0133267,0.00260101,6.25992e-05,7178.137,0.1,0.26,1.0
0.01003,1e-09,0.866183,0.0,1.0,0.999975,53.1859,0.00868544,0.0,0.00134181,7278.137,0.1,0.26,1.0
0.01003,7.7e-09,0.866188,0.0,1.0,0.999965,38.7989,0.00868549,0.0,0.00134176,7278.137,0.1,0.26,1.0
0.01003,6e-08,0.866225,0.0,1.0,0.999945,24.3278,0.00868585,0.0,0.0013414,7278.137,0.1,0.26,1.0
0.01003,4.6e-07,0.866505,0.00206046,0.99794,0.999866,9.99562,0.00868866,2.7638e-06,0.00133859,7278.137,0.1,0.26,1.0
0.01003,3.6e-06,0.867071,0.00629194,0.993708,0.999732,4.97349,0.00869434,8.4397e-06,0.00133291,7278.137,0.1,0.26,1.0
0.01003,2.8e-05,0.869823,0.0268662,0.973134,0.999479,2.50393,0.00872194,3.6037e-05,0.00130531,7278.137,0.1,0.26,1.0
0.01003,0.00022,0.882738,0.123409,0.876591,0.998845,1.01785,0.00885143,0.000165535,0.00117582,7278.137,0.1,0.26,1.0
0.01003,0.0017,0.933985,0.506503,0.493497,0.995299,0.140822,0.0093653,0.000679398,0.000661953,7278.137,0.1,0.26,1.0
0.01003,0.013,0.98302,0.873066,0.126934,0.972585,0.00621062,0.00985699,0.00117109,0.000170263,7278.137,0.1,0.26,1.0
0.01003,0.1,0.997312,0.979907,0.0200926,0.819587,0.000149386,0.0100003,0.0013144,2.69512e-05,7278.137,0.1,0.26,1.0
0.006233,1e-09,0.882388,0.0,1.0,0.999979,34.2199,0.00549991,0.0,0.000733074,7378.137,0.1,0.26,1.0
0.006233,7.7e-09,0.882393,0.0,1.0,0.99997,24.6108,0.00549994,0.0,0.000733043,7378.137,0.1,0.26,1.0
0.006233,6e-08,0.882432,0.0,1.0,0.999951,14.9452,0.00550018,0.0,0.000732797,7378.137,0.1,0.26,1.0
