 36 36 +3.9860043600D+05  N  M  MU        MODEL: GEM-T1
  0  1  6.3781370000D+03  -  -  AE
 2  83 +4.2226391740D-07  S(13, 5)*MU
 1  84 -1.3347408100D-08  C(13, 6)*MU
 2  84 -7.0567710380D-09  S(13, 6)*MU
 1  85 +1.8007074430D-10  C(13, 7)*MU
 2  85 -3.3343156040D-10  S(13, 7)*MU
 1  86 -5.5199079170D-11  C(13, 8)*MU
 2  86 -4.9794452010D-11  S(13, 8)*MU
 1  87 +8.7240438230D-12  C(13, 9)*MU
 2  87 +1.9595303120D-11  S(13, 9)*MU
 1  88 +1.9323197540D-12  C(13,10)*MU
 2  88 -1.6973995550D-12  S(13,10)*MU
 1  89 -2.1135935700D-13  C(13,11)*MU
 2  89 +2.8931813200D-14  S(13,11)*MU
 1  90 -2.0828677190D-14  C(13,12)*MU
 2  90 +6.4265311730D-14  S(13,12)*MU
 1  91 -8.9772106070D-15  C(13,13)*MU
 2  91 +9.9570459830D-15  S(13,13)*MU
 1  92 -3.9269547970D-03  C(14, 1)*MU
 2  92 +4.8650348190D-03  S(14, 1)*MU
 1  93 -5.0563987390D-04  C(14, 2)*MU
 2  93 -8.8138562240D-05  S(14, 2)*MU
 1  94 +3.7556735780D-05  C(14, 3)*MU
 2  94 +2.2802067830D-05  S(14, 3)*MU
 1  95 -6.3836191040D-07  C(14, 4)*MU
 2  95 +1.3574790090D-07  S(14, 4)*MU
 1  96 +1.1951683880D-07  C(14, 5)*MU
 2  96 -6.0860479440D-08  S(14, 5)*MU
 1  97 -1.2454031000D-09  C(14, 6)*MU
 2  97 +2.5448112290D-09  S(14, 6)*MU
 1  98 +1.1301730620D-09  C(14, 7)*MU
 2  98 -1.3142098720D-10  S(14, 7)*MU
 1  99 -8.0034837800D-11  C(14, 8)*MU
 2  99 -3.2025520420D-11  S(14, 8)*MU
 1 100 +7.6856635350D-12  C(14, 9)*MU
 2 100 +3.7089709470D-12  S(14, 9)*MU
 1 101 +6.9847463630D-13  C(14,10)*MU
 2 101 -5.2800542920D-14  S(14,10)*MU
 1 102 +1.5261825600D-14  C(14,11)*MU
 2 102 -7.8090833750D-14  S(14,11)*MU
 1 103 +1.9171578260D-15  C(14,12)*MU
 2 103 -6.8550833970D-15  S(14,12)*MU
 1 104 +9.1733893150D-16  C(14,13)*MU
 2 104 +1.2981452120D-15  S(14,13)*MU
 1 105 -2.7799537040D-16  C(14,14)*MU
 2 105 -3.5042991970D-17  S(14,14)*MU
 1 106 +1.6788534000D-03  C(15, 1)*MU
 2 106 +2.8793634610D-03  S(15, 1)*MU
 1 107 -2.8399598710D-04  C(15, 2)*MU
 2 107 -4.7857205550D-04  S(15, 2)*MU
 1 108 +3.8311589340D-05  C(15, 3)*MU
 2 108 +2.2788175690D-05  S(15, 3)*MU
 1 109 -2.5229704460D-06  C(15, 4)*MU
 2 109 +7.1873220400D-07  S(15, 4)*MU
 1 110 +6.1614261650D-08  C(15, 5)*MU
 2 110 +4.1728813560D-08  S(15, 5)*MU
 1 111 +7.2030916040D-09  C(15, 6)*MU
 2 111 -1.3677230180D-08  S(15, 6)*MU
 1 112 +1.2540680790D-09  C(15, 7)*MU
 2 112 +2.1532193560D-10  S(15, 7)*MU
 1 113 -5.6355106950D-11  C(15, 8)*MU
 2 113 +3.4274412870D-11  S(15, 8)*MU
 1 114 +1.4374086430D-12  C(15, 9)*MU
 2 114 +4.3855996890D-12  S(15, 9)*MU
 1 115 +8.3742491450D-14  C(15,10)*MU
 2 115 +1.4038454160D-13  S(15,10)*MU
 1 116 +1.3147057940D-15  C(15,11)*MU
 2 116 +2.2151905730D-14  S(15,11)*MU
 1 117 -2.0873293920D-15  C(15,12)*MU
 2 117 +9.1998915360D-16  S(15,12)*MU
 1 118 -2.2592432050D-16  C(15,13)*MU
 2 118 -4.0055608290D-17  S(15,13)*MU
 1 119 +6.5132931610D-18  C(15,14)*MU
 2 119 -2.7035077890D-17  S(15,14)*MU
 1 120 -3.4870419840D-18  C(15,15)*MU
 2 120 -1.5581275900D-18  S(15,15)*MU
 1 121 +6.2261679720D-03  C(16, 1)*MU
 2 121 +3.4064874690D-03  S(16, 1)*MU
 1 122 -1.8693153870D-04  C(16, 2)*MU
 2 122 +2.9327395550D-04  S(16, 2)*MU
 1 123 -2.3506776230D-05  C(16, 3)*MU
 2 123 -3.2989646780D-05  S(16, 3)*MU
 1 124 +1.6590325840D-06  C(16, 4)*MU
 2 124 +1.9927109150D-06  S(16, 4)*MU
 1 125 -2.2108938700D-08  C(16, 5)*MU
 2 125 -4.8008058660D-09  S(16, 5)*MU
 1 126 +3.3109808990D-09  C(16, 6)*MU
 2 126 -4.9280563320D-09  S(16, 6)*MU
 1 127 +3.7016467980D-11  C(16, 7)*MU
 2 127 -1.1008488160D-10  S(16, 7)*MU
 1 128 -1.1092732030D-11  C(16, 8)*MU
 2 128 +1.8824431030D-12  S(16, 8)*MU
 1 129 -9.6751276370D-13  C(16, 9)*MU
 2 129 -2.9759313940D-12  S(16, 9)*MU
 1 130 -4.5072780680D-14  C(16,10)*MU
 2 130 +2.8581074420D-14  S(16,10)*MU
 1 131 +4.7645436950D-15  C(16,11)*MU
 2 131 -2.1881679750D-15  S(16,11)*MU
 1 132 +5.9990269340D-16  C(16,12)*MU
 2 132 +1.6482874150D-16  S(16,12)*MU
 1 133 +3.4879624740D-17  C(16,13)*MU
 2 133 +1.6362202320D-18  S(16,13)*MU
 1 134 -5.3770196040D-18  C(16,14)*MU
 2 134 -1.0766510120D-17  S(16,14)*MU
 1 135 -4.4752932250D-19  C(16,15)*MU
 2 135 -1.1533073650D-18  S(16,15)*MU
 1 136 -2.0460763370D-19  C(16,16)*MU
 2 136 -2.7578151640D-20  S(16,16)*MU
 1 137 -5.8982032410D-03  C(17, 1)*MU
 2 137 -5.1180464910D-03  S(17, 1)*MU
 1 138 -6.3199963370D-05  C(17, 2)*MU
 2 138 +1.8724641150D-04  S(17, 2)*MU
 1 139 +6.3895122230D-06  C(17, 3)*MU
 2 139 +6.2459136530D-06  S(17, 3)*MU
 1 140 +4.6345067510D-07  C(17, 4)*MU
 2 140 +1.1495980280D-06  S(17, 4)*MU
 1 141 -2.4268185460D-08  C(17, 5)*MU
 2 141 -1.2198221750D-08  S(17, 5)*MU
 1 142 +3.8268628630D-11  C(17, 6)*MU
 2 142 -3.9859147440D-09  S(17, 6)*MU
 1 143 +1.8511279010D-10  C(17, 7)*MU
 2 143 -9.6628090180D-11  S(17, 7)*MU
 1 144 +1.5892495110D-11  C(17, 8)*MU
 2 144 +4.4760019780D-12  S(17, 8)*MU
 1 145 -1.0675468030D-13  C(17, 9)*MU
 2 145 -1.1445706610D-12  S(17, 9)*MU
 1 146 +4.7759636530D-15  C(17,10)*MU
 2 146 +4.5648295860D-14  S(17,10)*MU
 1 147 -2.7730141320D-15  C(17,11)*MU
 2 147 +2.8364003560D-15  S(17,11)*MU
 1 148 +4.2108096970D-16  C(17,12)*MU
 2 148 +2.1201794770D-16  S(17,12)*MU
 1 149 +1.6960612900D-17  C(17,13)*MU
 2 149 +2.0175422920D-17  S(17,13)*MU
 1 150 -1.2014620120D-18  C(17,14)*MU
 2 150 +1.0595157480D-18  S(17,14)*MU
 1 151 +4.5451903190D-20  C(17,15)*MU
 2 151 +5.2860335410D-20  S(17,15)*MU
 1 152 -3.2897577040D-20  C(17,16)*MU
 2 152 +2.1330826320D-21  S(17,16)*MU
 1 153 -7.4357279320D-21  C(17,17)*MU
 2 153 -4.0028167140D-21  S(17,17)*MU
 1 154 -4.1774041610D-05  C(18, 1)*MU
 2 154 -8.4558546060D-03  S(18, 1)*MU
 1 155 +8.4548809590D-05  C(18, 2)*MU
 2 155 +1.6936159060D-04  S(18, 2)*MU
 1 156 -5.4966104260D-07  C(18, 3)*MU
 2 156 -3.8664754800D-06  S(18, 3)*MU
 1 157 +1.3110850460D-06  C(18, 4)*MU
 2 157 +1.8397703150D-07  S(18, 4)*MU
 1 158 +2.9325382750D-09  C(18, 5)*MU
 2 158 +3.5554727970D-08  S(18, 5)*MU
 1 159 +2.9724269730D-09  C(18, 6)*MU
 2 159 -8.1524133020D-10  S(18, 6)*MU
 1 160 -4.3767096210D-12  C(18, 7)*MU
 2 160 +3.6941195030D-11  S(18, 7)*MU
 1 161 +1.4870425470D-11  C(18, 8)*MU
 2 161 +1.4003120600D-13  S(18, 8)*MU
 1 162 -2.6765372030D-13  C(18, 9)*MU
 2 162 +3.8093694510D-13  S(18, 9)*MU
 1 163 +1.1230316250D-14  C(18,10)*MU
 2 163 -1.3544028060D-14  S(18,10)*MU
 1 164 -1.0477811400D-15  C(18,11)*MU
 2 164 -4.8878859250D-17  S(18,11)*MU
 1 165 -1.4790794450D-16  C(18,12)*MU
 2 165 -9.3360623220D-17  S(18,12)*MU
 1 166 -2.7261829140D-18  C(18,13)*MU
 2 166 -1.4562020840D-17  S(18,13)*MU
 1 167 -3.0398549820D-19  C(18,14)*MU
 2 167 -3.5825522160D-19  S(18,14)*MU
 1 168 -1.0763179300D-19  C(18,15)*MU
 2 168 -5.6505738780D-20  S(18,15)*MU
 1 169 +2.7623479220D-21  C(18,16)*MU
